epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1201.53,0.05554,0.74565,0.86358,0.71854,0.6296,0.71237,0.71164,0.04873,0.73621,0.40001,6.66385e-05,6.66385e-05,0.0667474
2,2539.32,0.04898,0.71708,0.86272,0.81961,0.73183,0.80898,0.80859,0.04344,0.44574,0.40322,0.000131985,0.000131985,0.0334794
3,3683.07,0.04331,0.68969,0.86209,0.7634,0.79017,0.82326,0.82276,0.03777,0.39889,0.40195,0.000196012,0.000196012,0.000210095
4,4936.39,0.04055,0.67377,0.86187,0.7929,0.77543,0.83364,0.83363,0.03529,0.39146,0.40062,0.00019406,0.00019406,0.00019406
5,6379.15,0.03983,0.66786,0.86184,0.82306,0.75382,0.83705,0.83703,0.03291,0.39021,0.40126,0.00019208,0.00019208,0.00019208
6,7646.66,0.03946,0.66002,0.86133,0.77997,0.79398,0.83733,0.83729,0.03297,0.38658,0.39974,0.0001901,0.0001901,0.0001901
7,8972.24,0.03912,0.65489,0.86142,0.78239,0.78014,0.83581,0.83578,0.03113,0.38236,0.39806,0.00018812,0.00018812,0.00018812
8,10350.1,0.0389,0.65218,0.86181,0.76633,0.79819,0.83726,0.83724,0.03032,0.38229,0.39782,0.00018614,0.00018614,0.00018614
9,11588.3,0.03861,0.64888,0.86136,0.75162,0.81338,0.8369,0.83687,0.03006,0.38227,0.39828,0.00018416,0.00018416,0.00018416
10,12952.7,0.0382,0.64408,0.86112,0.756,0.82195,0.83887,0.83885,0.02997,0.38152,0.39825,0.00018218,0.00018218,0.00018218
11,14165.6,0.03836,0.6386,0.86123,0.76031,0.81872,0.83925,0.83922,0.02993,0.38151,0.39825,0.0001802,0.0001802,0.0001802
12,15442.8,0.03789,0.63598,0.86121,0.76447,0.81374,0.84043,0.8404,0.02944,0.38047,0.39825,0.00017822,0.00017822,0.00017822
13,16733.2,0.03763,0.63144,0.86089,0.77379,0.80446,0.84315,0.84313,0.02921,0.37935,0.39825,0.00017624,0.00017624,0.00017624
14,17969.2,0.03763,0.63112,0.86113,0.78845,0.79786,0.84364,0.84362,0.02906,0.37882,0.39788,0.00017426,0.00017426,0.00017426
15,19189.2,0.03754,0.62918,0.86086,0.79787,0.79572,0.84472,0.8447,0.02911,0.3789,0.39764,0.00017228,0.00017228,0.00017228
16,20484.4,0.03717,0.62811,0.86093,0.80655,0.78689,0.84574,0.84574,0.02924,0.37861,0.3978,0.0001703,0.0001703,0.0001703
17,21741.1,0.03719,0.62699,0.86103,0.80992,0.78219,0.84472,0.84465,0.02945,0.37887,0.39721,0.00016832,0.00016832,0.00016832
18,22981.4,0.03709,0.62924,0.86101,0.80488,0.78331,0.84603,0.84597,0.02955,0.37969,0.39705,0.00016634,0.00016634,0.00016634
19,24266.7,0.03709,0.63531,0.86101,0.80561,0.78362,0.84391,0.84386,0.02891,0.37895,0.39625,0.00016436,0.00016436,0.00016436
20,25562,0.03698,0.63843,0.86121,0.80825,0.78442,0.84467,0.8446,0.0285,0.37844,0.39594,0.00016238,0.00016238,0.00016238
21,26776,0.03687,0.63944,0.86103,0.82477,0.77156,0.84386,0.84378,0.02799,0.37736,0.39599,0.0001604,0.0001604,0.0001604
22,28031,0.037,0.63715,0.86112,0.83499,0.76312,0.84446,0.84439,0.02769,0.37636,0.39608,0.00015842,0.00015842,0.00015842
23,29286.4,0.03679,0.63741,0.86115,0.82821,0.77091,0.84334,0.84328,0.02741,0.37678,0.39604,0.00015644,0.00015644,0.00015644
24,30519.1,0.03653,0.63583,0.86117,0.83326,0.7619,0.84245,0.84238,0.02752,0.37733,0.39595,0.00015446,0.00015446,0.00015446
25,31783.6,0.03646,0.63364,0.86114,0.83624,0.75903,0.84356,0.84348,0.02748,0.37785,0.39662,0.00015248,0.00015248,0.00015248
26,33034.5,0.03637,0.63346,0.86117,0.82295,0.77002,0.8433,0.84323,0.02777,0.37817,0.39695,0.0001505,0.0001505,0.0001505
27,34247.7,0.03636,0.63484,0.861,0.82935,0.76445,0.84284,0.84278,0.02798,0.37801,0.39719,0.00014852,0.00014852,0.00014852
28,35487.2,0.03626,0.63091,0.86089,0.83391,0.76233,0.84464,0.84464,0.02767,0.37714,0.39696,0.00014654,0.00014654,0.00014654
29,36813.9,0.03596,0.62654,0.86082,0.82353,0.77305,0.84537,0.84537,0.02786,0.37723,0.39705,0.00014456,0.00014456,0.00014456
30,38006.2,0.03573,0.62466,0.86111,0.82806,0.77222,0.84632,0.84632,0.02797,0.37697,0.39722,0.00014258,0.00014258,0.00014258
31,39345.6,0.03571,0.62569,0.86136,0.82628,0.77132,0.84531,0.84524,0.02756,0.37699,0.39705,0.0001406,0.0001406,0.0001406
32,40611.4,0.03569,0.62442,0.86113,0.81501,0.77666,0.84304,0.84298,0.02695,0.37697,0.39646,0.00013862,0.00013862,0.00013862
33,41814.8,0.03541,0.62416,0.86072,0.81946,0.77216,0.84402,0.84402,0.02694,0.37737,0.3963,0.00013664,0.00013664,0.00013664
34,43045.8,0.03536,0.62317,0.8611,0.83329,0.76412,0.84666,0.84666,0.02701,0.37757,0.39644,0.00013466,0.00013466,0.00013466
35,44195.8,0.03522,0.6212,0.86036,0.82946,0.76664,0.84689,0.84689,0.02678,0.37766,0.39656,0.00013268,0.00013268,0.00013268
36,45418.9,0.03522,0.61784,0.86088,0.82449,0.77124,0.84456,0.84456,0.02666,0.37745,0.39617,0.0001307,0.0001307,0.0001307
37,46709.4,0.0353,0.61874,0.8611,0.83324,0.76373,0.84387,0.84387,0.02626,0.37733,0.39595,0.00012872,0.00012872,0.00012872
38,47906,0.03506,0.6175,0.86053,0.82455,0.77468,0.8445,0.8445,0.02567,0.37651,0.39558,0.00012674,0.00012674,0.00012674
39,49043.3,0.03489,0.61771,0.86086,0.82613,0.76902,0.84501,0.84501,0.02561,0.37585,0.39544,0.00012476,0.00012476,0.00012476
40,50198.9,0.03459,0.61477,0.86085,0.81902,0.77512,0.84486,0.84486,0.02499,0.37501,0.39502,0.00012278,0.00012278,0.00012278
41,51370,0.03479,0.61528,0.86073,0.81263,0.7788,0.84438,0.84437,0.0243,0.37335,0.39452,0.0001208,0.0001208,0.0001208
42,52545.5,0.03464,0.61352,0.8609,0.81112,0.78092,0.84484,0.84483,0.02395,0.37279,0.39457,0.00011882,0.00011882,0.00011882
43,53816.3,0.03444,0.61118,0.86052,0.82205,0.77467,0.84529,0.84529,0.02333,0.37178,0.39483,0.00011684,0.00011684,0.00011684
44,55065.8,0.03449,0.61062,0.86071,0.8091,0.78264,0.84654,0.84654,0.02276,0.37098,0.39465,0.00011486,0.00011486,0.00011486
45,56329.6,0.03432,0.61084,0.8607,0.82005,0.77685,0.84629,0.84629,0.02256,0.37087,0.39455,0.00011288,0.00011288,0.00011288
46,57572.6,0.03421,0.60901,0.86089,0.81655,0.7834,0.84578,0.84578,0.02249,0.37097,0.39419,0.0001109,0.0001109,0.0001109
47,58835.5,0.03417,0.6082,0.86066,0.8106,0.79054,0.84628,0.84628,0.02244,0.37087,0.3939,0.00010892,0.00010892,0.00010892
48,60062.9,0.03401,0.60785,0.86072,0.81423,0.78484,0.84606,0.84606,0.02233,0.37124,0.39369,0.00010694,0.00010694,0.00010694
49,61345.3,0.03408,0.60539,0.86073,0.8098,0.78572,0.84574,0.84568,0.02227,0.37112,0.39357,0.00010496,0.00010496,0.00010496
50,62672.6,0.0339,0.60551,0.86062,0.8027,0.78997,0.84415,0.84408,0.02249,0.37124,0.39368,0.00010298,0.00010298,0.00010298
51,63935.3,0.03379,0.60469,0.86071,0.80874,0.78293,0.84289,0.84289,0.02275,0.37162,0.3942,0.000101,0.000101,0.000101
52,65159.6,0.0337,0.60327,0.86035,0.8071,0.78841,0.84487,0.84487,0.02309,0.37172,0.39473,9.902e-05,9.902e-05,9.902e-05
53,66420,0.03356,0.60186,0.86063,0.8073,0.79076,0.84516,0.84516,0.02325,0.37278,0.39517,9.704e-05,9.704e-05,9.704e-05
54,67605.3,0.03332,0.60247,0.86065,0.81427,0.78274,0.84624,0.84624,0.02323,0.3727,0.39572,9.506e-05,9.506e-05,9.506e-05
55,68880.5,0.0334,0.60056,0.86069,0.80654,0.79057,0.8451,0.8451,0.02309,0.37317,0.39583,9.308e-05,9.308e-05,9.308e-05
